Orionintie|24.76728,60.18267
Kallionsyrjä|24.73534,60.29716
Perusmäki|24.72614,60.28702
Latopelto|24.71109,60.28069
Latopelto|24.71065,60.28103
Tennispuisto|24.80195,60.17223
Tennispuisto|24.80231,60.17197
Anfallinristi|24.71467,60.27559
Tapiolansolmu|24.81011,60.17018
Tapionaukio|24.80785,60.17647
Tapionaukio|24.80709,60.17636
Tapionaukio|24.80691,60.17633
Tapionaukio|24.80752,60.17642
Tapionaukio|24.80727,60.17639
Tapionaukio|24.8074,60.17645
Tapionaukio|24.80649,60.17627
Tapionaukio|24.80678,60.17631
Tapionaukio|24.80667,60.17629
Tapiolansolmu|24.81115,60.17025
Lansantorppa|24.77096,60.21447
Nihtimäki|24.76284,60.21154
Nuijavuori|24.7701,60.21193
Nuijavuori|24.76733,60.2117
Lansantorppa|24.77174,60.21501
Nihtisilta|24.75262,60.20843
Poliisitalo|24.75843,60.20968
Poliisitalo|24.75608,60.20944
Nihtimäki|24.76432,60.21167
Tapiolansilta|24.81079,60.17083
Tapiolansilta|24.81056,60.17046
Revontulentie|24.81072,60.17359
Revontulentie|24.81027,60.17364
Tapiolan uimahalli p|24.80797,60.17826
Nihtitorppa|24.76218,60.21023
Nihtitorppa|24.76262,60.2101
Nihtisilta|24.75354,60.20632
Nihtisilta|24.75239,60.20719
Nihtisilta|24.75388,60.20696
Vitikka|24.76544,60.20753
Nihtisilta|24.7532,60.20847
Apilarinne|24.72146,60.26922
Apilarinne|24.72145,60.26933
Niipperinvarsi|24.74444,60.28919
Niipperinvarsi|24.74415,60.28958
Punametsäntie|24.71082,60.28652
Punametsäntie|24.7115,60.28661
Ratsastustallit|24.7149,60.28834
Ratsastustallit|24.71484,60.28796
Marback|24.71475,60.27483
E:lahden uimahalli|24.65846,60.14766
Kipparinmäki|24.64988,60.14988
Anfallinkuja|24.72915,60.26788
Minttupelto|24.73511,60.26656
Minttupelto|24.73717,60.26626
Kuokankaari|24.71927,60.28837
Ulappatori|24.65223,60.15189
Kipparinkatu|24.64954,60.15105
Laurinlahdentie|24.65272,60.14538
Kuokankaari|24.71904,60.28844
Laurinlahdentie|24.65111,60.14491
Merenkulkija|24.65465,60.14746
Merenkulkija|24.65383,60.14806
Kipparinmäki|24.65039,60.14945
Lippulaiva|24.65585,60.14968
Lippulaiva|24.65574,60.15
Ulappatori|24.65217,60.15167
Lambert|24.72279,60.27337
Pikkuneva|24.71708,60.27523
Aarnivalkean koulu|24.80701,60.18255
Viiskorpi|24.72179,60.26794
Päivätie|24.80211,60.18202
Kiilaniityntie|24.73251,60.26585
Pikkuneva|24.71838,60.27505
Anfallinpää|24.71506,60.2753
Tapiolan keskus|24.80424,60.1751
Tapiolan keskus|24.80338,60.17466
Tapiolan keskus|24.80386,60.17501
Kontiontie|24.81083,60.17718
Tuulimäki|24.80343,60.17403
Viiskorpi|24.7233,60.26755
Anfallinkuja|24.73043,60.26766
Ristiniementie|24.65681,60.14202
Tapiolan keskus|24.80444,60.17475
Päivätie|24.80209,60.18202
Kiilaniitty|24.73065,60.26541
Tapiolan keskus|24.80233,60.17473
Tapionaukio|24.80626,60.17623
Kulttuurikeskus|24.80246,60.17787
Minttupelto|24.73476,60.26637
Tapiola|24.80832,60.175
Tapiolan uimahalli|24.80806,60.17826
Aarnivalkean koulu|24.80701,60.18255
Lambert|24.72298,60.27336
Tapiola|24.80857,60.175
Lokirinne|24.65846,60.14914
Espoonlahti|24.65583,60.15267
Espoonlahdenkuja|24.65813,60.14639
Väylänsuu|24.66365,60.15213
Espoonlahti|24.65167,60.15338
Väylänsuu|24.66269,60.15214
Merikansa|24.66506,60.15183
Merikansa|24.66629,60.15011
Klovinristi|24.76069,60.20325
Nihtisilta|24.75889,60.20552
Koulumäki|24.67084,60.14697
Koulumäki|24.67182,60.14627
Näkinkaari|24.65533,60.1451
Kruununtie|24.76279,60.20009
Kruununtie|24.76333,60.19894
Klovinristi|24.75998,60.20413
Klovi|24.75002,60.20167
Klovi|24.74947,60.20209
Taavinkylä|24.75501,60.19999
Taavinkylä|24.75697,60.20042
Kruununkuja|24.75976,60.19947
E:lahden uimahalli|24.6582,60.14776
Kruununkuja|24.75985,60.19948
Ämmänkalliontie|24.54462,60.31409
Ämmänkalliontie|24.54317,60.31489
Haukkalammentie|24.54733,60.30871
Haukkalammentie|24.54797,60.30818
Klovinristi|24.76211,60.20359
Vehkamäki|24.76755,60.20358
Vehkaniitty|24.77493,60.20309
Vanha-Stensintie|24.74644,60.20165
Vanha-Stensintie|24.74457,60.20186
Nygranneksentie|24.74988,60.20011
Nygrannaksentie|24.75052,60.19987
Vehkamäki|24.76572,60.20351
Stensinsilta|24.74207,60.2029
Koivuranta|24.56217,60.29109
Torppa|24.55157,60.29848
Torppa|24.55168,60.29776
Nuuksiontie 106|24.55163,60.30167
Nuuksiontie 106|24.55154,60.30237
Mustakallio|24.58403,60.28244
Mustakallio|24.58396,60.2828
Meerilampi|24.5739,60.28819
Meerilampi|24.57362,60.28811
Koivuranta|24.56258,60.29053
Solvik|24.58949,60.27743
Otsolahdentie|24.81721,60.17862
Otsolahdentie|24.81654,60.17872
Itäranta|24.8207,60.17895
Itäranta|24.82074,60.17908
Harjuviita|24.82535,60.17516
Keilaniemi|24.82683,60.17375
Keilaniemi|24.82808,60.17512
Itämetsä|24.82427,60.17073
Keilalahti|24.82579,60.17127
Poutapolku|24.81267,60.18178
Mäntyviita|24.81565,60.18144
Hopealehto|24.81136,60.18369
Kontiontie|24.81266,60.17798
Mäntyviita|24.81479,60.18176
Itämetsä|24.82312,60.17189
Keilaranta|24.83503,60.17798
Keilaranta|24.83509,60.17772
Keilasatama|24.82944,60.17514
Keilasatama|24.82893,60.17481
Mankki/VR|24.58156,60.18516
Karhusaarensolmu|24.8233,60.16978
Karhusaarensolmu|24.8242,60.16976
Kiertotie|24.67667,60.16295
Reittimäki|24.68178,60.16443
Reittimäki|24.68157,60.1644
Oxfot|24.66082,60.16823
Länsimetsä|24.66702,60.15559
Eestinlaakso|24.6776,60.17019
Oxfot|24.65983,60.16725
Kiertotie|24.67642,60.16296
Vehas|24.66104,60.16265
Haltiankaari|24.66447,60.16285
Martinsilta|24.66329,60.15578
Vehas|24.65978,60.16226
Kirkkotaival|24.67184,60.16319
Haltiankaari|24.66467,60.16286
Kirkkotaival|24.67186,60.16328
Vehas|24.66029,60.16333
Oxfot|24.66045,60.16658
Länsimetsä|24.66917,60.15569
Järvisilta|24.6744,60.15558
Järvisilta|24.67205,60.15556
Nöykkiönpuro|24.6807,60.15632
Eestinlaakso|24.67798,60.17018
Kyläkartano|24.6556,60.17001
Isokivi|24.65716,60.16719
Kaskihaka|24.65018,60.17001
Kyläkartano|24.65641,60.17013
Säterinmetsä|24.81666,60.21391
Majurinpolku|24.82653,60.2147
Perkkaankuja|24.82504,60.217
Majurinpolku|24.82632,60.21489
Kirjurinkuja|24.82658,60.21613
Perkkaanportti|24.81792,60.2184
Komentajankatu|24.82046,60.21719
Komentajankatu|24.8207,60.21706
Alalinnake|24.79113,60.16241
Mäenrinne|24.79435,60.16435
Mäenrinne|24.7922,60.16402
Linnake|24.78992,60.16009
Linnake|24.78971,60.16042
Alalinnake|24.79048,60.16331
Hiiralankaari|24.79966,60.16293
Golfpolku|24.79658,60.16832
Golfpolku|24.79658,60.1682
Westendinpolku|24.78925,60.16499
Westendinasema|24.80383,60.1688
Westendinpolku|24.78978,60.16576
Westendinasema|24.8034,60.16878
Karhusaarensilta|24.8244,60.17035
Ankkurisaarentie|24.80438,60.16848
Liinasaarentie|24.80236,60.1628
Liinasaarentie|24.80276,60.16328
Etelätuulensilta|24.8022,60.16839
Westendinasema|24.80491,60.16881
Westendinasema|24.80436,60.16891
Kuninkaansatama|24.80641,60.16872
Ankkurisaarentie|24.80474,60.16827
Karhusaari|24.82593,60.16842
Lintumetsä|24.82241,60.23727
Lintumetsä|24.82301,60.23804
Westendinasema|24.805,60.16898
Kuninkaansatama|24.80632,60.168
Kuninkaanlahti|24.80552,60.1657
Kuninkaanlahti|24.80611,60.16634
Karhusaari|24.82612,60.16875
Kultarinta|24.81349,60.23817
Sinirinta|24.81365,60.24089
Sinirinta|24.81353,60.24034
Jääskeläntie|24.80863,60.24174
Mankki/VR|24.58156,60.18516
Kultarinta|24.81367,60.23839
Jääskeläntie|24.80857,60.24119
Paikkalinnuntie|24.80855,60.24433
Paikkalinnuntie|24.80847,60.24432
Varpuskulma|24.80875,60.23725
Linturaja|24.80843,60.24707
Linturaja|24.80845,60.24685
Lintuvaaran koulu|24.80878,60.23959
Lintuvaaran koulu|24.80861,60.23933
Rajamänty|24.74776,60.22548
Rajamänty|24.74736,60.22565
Myrkärret|24.73391,60.18589
Olarinniityntie|24.74421,60.18081
Olarinniityntie|24.74392,60.18102
Henttaankaari|24.74539,60.18218
Väha-Henttaa|24.72835,60.1875
Väha-Henttaa|24.72835,60.1875
Myrkärret|24.73357,60.18609
Kavallinkuja|24.74247,60.22173
Nuumäki|24.74405,60.23515
Viherlaaksonranta|24.73074,60.2261
Viherlaaksonranta|24.73029,60.2264
Kavallinpelto|24.74286,60.2243
Kavallinpelto|24.74244,60.22457
Honkavaarantie|24.73295,60.22903
Humisevanpuro|24.73805,60.23065
Törmänsilmänkuja|24.73329,60.22987
Kahiseva|24.74358,60.2317
Humisevanristi|24.741,60.22965
Humisevanpuro|24.7372,60.23084
Kahiseva|24.74328,60.2317
Viherlaaksontori|24.74108,60.22686
Törmäniityntie|24.74088,60.22675
Humisevanristi|24.74127,60.22972
Kavallinmäki|24.73631,60.22521
Kavallinmäki|24.73771,60.22519
Kuusiniemi|24.72212,60.22459
Kuusiniemi|24.72396,60.22434
Miilupolku|24.79308,60.18101
Viertopolku|24.79071,60.18087
Miilupolku|24.79306,60.18105
Ukonvaaja|24.79346,60.18508
Ukonvaaja|24.79337,60.18509
Kaskenkaataja|24.79031,60.18189
Metsäpirtintie|24.80523,60.18926
Vemmelsäärentie|24.7922,60.18422
Vemmelsäärentie|24.79214,60.18411
Piilopolku|24.79337,60.18858
Takojantie|24.7989,60.187
Aurinkoniityntie|24.65506,60.2502
Aurinkoniityntie|24.65483,60.25019
Kalmari|24.65259,60.25515
Velskolantie|24.65628,60.27375
Kalmari|24.65249,60.25477
Tuomarila/VR|24.68355,60.20616
Koivu-Mankkaa|24.78943,60.18295
Visamäki|24.78434,60.18678
Pohjankulma|24.79364,60.18286
Koivumankkaan raitti|24.78483,60.18278
Koivu-Mankkaa|24.78701,60.1837
Visamäki|24.78284,60.18768
Uudenkirkontie|24.79551,60.19361
Uudenkirkontie|24.79574,60.19297
Terijoentie|24.79705,60.19079
Terijoentie|24.79691,60.19071
Pohjantori|24.79511,60.1836
Pohjantori|24.7952,60.18401
Muolaanpuisto|24.80054,60.19701
Louhenaukio|24.79718,60.18798
Takojantie|24.79671,60.18663
Laajaranta|24.80629,60.1952
Pihapirtintie|24.65307,60.26227
Pihapirtintie|24.653,60.2623
Pirttimäki|24.65364,60.26915
Pirttimäki|24.65277,60.26869
Pyhänristinpuisto|24.79514,60.19613
Pyhänristinpuisto|24.79384,60.19519
Keijuniitty|24.80348,60.18836
Muolaanpuisto|24.79966,60.19681
Keijuniitty|24.80375,60.18727
Keijuniityntie|24.80221,60.18928
Rauduntie|24.80011,60.18986
Louhenaukio|24.79757,60.18833
Takojantie|24.79715,60.18749
Rauduntie|24.80021,60.18945
Viherlaaksonristi|24.7313,60.22849
Kavallinkuja|24.74345,60.22231
Maarinniitty|24.80423,60.18474
Lukutori|24.7432,60.18657
Suurpellonaukio|24.7437,60.18412
Henttaankaari|24.7443,60.18457
Henttaankaari|24.74496,60.18293
Maarinniitty|24.80398,60.18458
Maarinsilta|24.80714,60.18935
Vitikka|24.76675,60.20862
Friisinmäenaukio|24.78493,60.20864
Friisinmäenaukio|24.78725,60.20844
Karakaarre|24.74963,60.22465
Vitikka|24.76843,60.20852
Kellarikuja|24.77583,60.20761
Hirsalantie|24.79452,60.20922
Kellarikuja|24.77397,60.20744
Skatantie|24.70841,60.12776
Reiviikki|24.71353,60.12466
Kanavaniemi|24.70521,60.1282
Skatantie|24.70882,60.12737
Bosund|24.71695,60.12108
Bosund|24.71671,60.12112
Reiviikki|24.71342,60.12488
Ramsösund|24.71184,60.11435
Ramsösund|24.71102,60.11427
Säväsund|24.71709,60.11735
Säväsund|24.71655,60.11713
Suinonkuja|24.69826,60.12718
Kanavaniemi|24.7043,60.12783
Suinonkuja|24.69832,60.12721
Kylänlahti|24.70324,60.11328
Kylänlahti|24.70343,60.11322
Mellilä|24.70018,60.11452
Ramsiontie|24.69712,60.11372
Mellilä|24.70043,60.11452
Ahertajankuja|24.79601,60.17849
Hakamaantie|24.7918,60.16991
Puhurinpolku|24.78751,60.17438
Hakamäki|24.79277,60.17146
Jousenkaari|24.78719,60.17522
Tornitaso|24.79518,60.17692
Tuulikuja|24.79893,60.17134
Puhurinpolku|24.78771,60.17426
Jousenkaari|24.78734,60.17533
Ahertajankuja|24.79599,60.17848
Heikintori|24.80008,60.1759
Heikintori|24.80035,60.17615
Kaskenkaataja|24.79584,60.18154
Kaskenkaataja|24.79634,60.18134
WeeGee-talo|24.79887,60.17822
WeeGee-talo|24.79851,60.17928
Säterinportti|24.81925,60.21253
Säterinportti|24.8189,60.21268
Everstinkatu|24.8263,60.21222
Majurinkulma|24.82438,60.21079
Majurinkulma|24.82569,60.21104
Everstinkatu|24.82623,60.21264
Tarvaspääntie|24.83047,60.21144
Majurinkulma|24.82635,60.21042
Tarvaspääntie|24.83059,60.21136
Tatartie|24.7762,60.2331
Leppäsilta|24.77758,60.22572
Leppäsilta|24.77919,60.22495
Ratamotie|24.77634,60.23177
Tuomarila/VR|24.68355,60.20616
Karamalmi|24.75043,60.21923
Lintulaakso|24.82465,60.23498
Saunalahti|24.61326,60.16214
Saunalahti|24.61325,60.16225
Kummelitie|24.6135,60.15906
Meriviitantie|24.61539,60.16608
Meriviitantie|24.61461,60.16561
Saunalahden koulu|24.61546,60.16776
Kalasääksentie|24.77683,60.22965
Kotkatie|24.76315,60.23033
Tornihaukantie|24.77201,60.22722
Kalasääksentie|24.77128,60.23131
Saunalahden koulu|24.61549,60.16774
Tillinmäki|24.62266,60.16764
Tillinmäki|24.62229,60.16769
Saunalahti|24.62597,60.1597
Kirkkalankuja|24.81822,60.23437
Kirkkalankuja|24.81888,60.23434
Saunaniemi|24.61144,60.17011
Finnsinrinne|24.57045,60.19137
Lintulaakson koulu|24.82263,60.23384
Pikkulinnunreitti|24.8244,60.23057
Kummelivuori|24.62654,60.16107
Kummelivuori|24.62642,60.16053
Kalasääksenkuja|24.77244,60.2307
Karametsä|24.75783,60.2266
Monitoimitalo|24.76189,60.22891
Rastasmäki|24.77329,60.23275
Rastasmäki|24.77313,60.23311
Karametsä|24.75707,60.22695
Karametsä|24.75623,60.22812
Rastaspuisto|24.77634,60.23072
Mäkkylänmetsä|24.82752,60.23094
Lintulaakson koulu|24.82164,60.23452
Nostoväentie|24.82351,60.23466
Nostoväentie|24.82568,60.2343
Heurlinintie|24.78509,60.23364
Rastaskukkula|24.77787,60.22944
Invalidintie|24.82669,60.23159
Mäkkylänmetsä|24.82706,60.23101
Karakallion keskus|24.76138,60.228
Karakallion keskus|24.76318,60.2282
Karakallionkuja|24.76923,60.22959
Karakallionkuja|24.76792,60.22968
Kalasääksentie|24.77474,60.22916
Poutahaukanpolku|24.77365,60.22934
Pääskyskuja|24.7796,60.22674
Pääskyskuja|24.77975,60.22671
Nurmilinnuntie|24.78233,60.23318
Kelohongantie|24.79352,60.17404
Kelohongantie|24.79387,60.1741
Espoo/VR|24.65644,60.20509
Leppälinnunrinne|24.77909,60.22871
Harmaakallionpolku|24.61578,60.17204
Kummelitie|24.6135,60.15901
Saunaniemi|24.61163,60.17014
Oravannahkatori|24.79293,60.17584
Jousenkaari|24.78545,60.17362
Hakalehto|24.79319,60.17341
Jousenkaari|24.78602,60.17352
Hakarinne|24.79794,60.17457
Hakarinne|24.79727,60.17429
Hakalehto|24.79135,60.17353
Espoo/VR|24.65644,60.20509
Snäckens|24.69919,60.34888
Snäckens|24.69945,60.3486
Kytömaa|24.71016,60.3368
Kytömaa|24.71032,60.33689
Päivärinne|24.70989,60.33429
Päivärinne|24.71006,60.33417
Kurjenkaski|24.70996,60.32961
Kurjenkaski|24.71024,60.32928
Tallbacka|24.54519,60.26238
Korpilampi|24.71668,60.32289
Korpilampi|24.71555,60.32377
Karlberg|24.71348,60.34191
Tallbacka|24.54572,60.26253
Histantie|24.57105,60.25745
Kurkijärvi|24.71609,60.31757
Histantie|24.57082,60.25763
Ånäs|24.69083,60.35487
Huhtamäentie|24.71338,60.32502
Hännikäinen|24.7317,60.34598
Kytöpellontie|24.72664,60.34457
Koirankorpi|24.73115,60.34567
Karlberg|24.71353,60.34214
Kytöpellontie|24.72721,60.3446
Hotelli Korpilampi|24.72689,60.32493
Korpilammentie|24.71927,60.32192
Korpilammentie|24.71847,60.32206
Hotelli Korpilampi|24.7268,60.32517
Bemböle skola|24.67722,60.22305
Karamzinin koulu|24.71404,60.24436
Mäyränkuja|24.70672,60.34035
Hepomäki|24.71775,60.32795
Hepomäki|24.71869,60.32804
Ketunkorpi|24.70397,60.3427
Mäyränkuja|24.70653,60.34047
Rajapyörre|24.70221,60.34616
Ketunkorpi|24.70409,60.34273
Ånäs|24.69139,60.35454
Rajapyörre|24.70234,60.34615
Serena|24.73677,60.32415
Lepsämänjoentie|24.68554,60.35718
Lepsämänjoki|24.67297,60.35782
Juvanmalminpää|24.76206,60.2824
Storgårdinpolku|24.71753,60.32147
Storgårdinpolku|24.71755,60.32229
Rajasilta|24.53746,60.20072
Kurkijärvi|24.71642,60.31776
Järvikylä|24.55268,60.20005
Järvikylänmäki|24.55469,60.19968
Finnsinrinne|24.57264,60.19087
Espoon kartano|24.58061,60.19811
Espoonkartano|24.5793,60.198
Träskby skola|24.57175,60.19684
Träskby skola|24.56971,60.19705
Björkulla|24.56186,60.19803
Halujärventie|24.56102,60.19829
Järvikylänmäki|24.55625,60.19935
Finnsinmäki|24.57586,60.18997
Vanha Järvikyläntie|24.55475,60.19929
Tuomarilanrinne|24.68758,60.20617
Kylvötie|24.74204,60.28549
Tuomarilanrinne|24.68963,60.2063
Kylvötie|24.74113,60.28582
Juvanmalminpää|24.76207,60.28371
Pitkänotko|24.68547,60.20016
Porraspelto|24.74574,60.26655
Pitkänotko|24.68762,60.20047
Sunankaari|24.68038,60.20329
Yläniityntie|24.68446,60.19975
Tuomarilankallio|24.6952,60.20152
Tuomarilankallio|24.69588,60.20148
Tuomarilankallio|24.69575,60.20132
Niipperinpuisto|24.75052,60.27323
Niipperinpuisto|24.74953,60.27398
Juvankartano|24.75311,60.27087
Sunankaari|24.68024,60.20332
Juvanmalmin puisto|24.76011,60.27164
Luhtakuja|24.68723,60.19757
Teollisuusaukio|24.76154,60.278
Teollisuusristi|24.76107,60.275
Teollisuusristi|24.76071,60.2743
Juvanmalminpuisto|24.75945,60.26954
L.teollisuuskatu|24.75894,60.27871
Juvantie|24.74978,60.27908
Teollisuusaukio|24.76146,60.2784
L.teollisuuskatu|24.7575,60.27888
Juvantie|24.75086,60.27823
Juvantie|24.74963,60.27787
Niipperin koulu|24.74589,60.28346
Niipperin koulu|24.74651,60.28485
Juvankartano|24.75398,60.27007
Niipperinpelto|24.74512,60.28471
Soliseva|24.68226,60.19468
Soliseva|24.68208,60.19475
Töyrymäki|24.67816,60.19405
Kuurinmäki|24.70503,60.19976
Kuurinmäki|24.70541,60.19996
Nikunmäentie|24.74761,60.26702
Juvanristi|24.75718,60.27009
Juvanristi|24.75626,60.26969
Bembölensilta|24.66789,60.22219
Hopeatie|24.71445,60.198
Korukuja|24.70857,60.19899
Korukuja|24.70922,60.19862
Hopeatie|24.71458,60.19802
Kuurintorppa|24.71871,60.19729
Tikaskolo|24.80151,60.2304
Linnuntie|24.81428,60.23425
Linnuntie|24.81456,60.23433
Varpuskulma|24.80932,60.23598
Palvelutalo Uuttu|24.81303,60.23454
Tiastentie|24.80476,60.23081
Tiasentie|24.80473,60.23079
Laulukulma|24.81364,60.23684
Pikkulinnunreitti|24.8138,60.23154
Pikkulinnunreitti|24.81365,60.2313
Laulukulma|24.8135,60.23626
Harmaakallionpolku|24.61632,60.17181
Tillinkuja|24.62751,60.16953
Tillinkuja|24.62744,60.16961
Pirttitie|24.62904,60.16908
Tillintulli|24.63299,60.16643
Pirttitie|24.62914,60.169
Hakkapeliitantie|24.63268,60.16718
Lintukulma|24.81376,60.23386
Lintukulma|24.81357,60.23321
Viserrystie|24.81251,60.23087
Naruportti|24.51821,60.27237
K-Instituutti|24.5142,60.27723
Naruportti|24.51765,60.27268
K-Instituutti|24.51393,60.27687
Siikajärvi|24.51706,60.27917
Naruportintie|24.50669,60.27514
Kauristie|24.51738,60.27254
Kotitorpantie|24.52187,60.26244
Kotitorpantie|24.52179,60.26235
Laitamaantie|24.50925,60.25291
Laitamaantie|24.51035,60.25259
Seilimäki|24.77686,60.19082
Seilimäki|24.77608,60.19135
Vanha-Mankkaa|24.76971,60.19414
Vanha-Mankkaa|24.76877,60.19464
Kotimäentie|24.52138,60.26547
Kotimäentie|24.5211,60.2652
Kokinkylänsilta|24.74977,60.18256
Kokinkylänsilta|24.75293,60.18004
Mankkaankallio|24.76565,60.19723
Mankkaankallio|24.76588,60.1964
Siikaniemi|24.51592,60.2888
Lukusilta|24.75837,60.18637
Sutisenniemi|24.52685,60.28839
Juhannusmäki|24.75339,60.18257
Sutisenniemi|24.52747,60.28803
Kolmoislammentie|24.52204,60.28961
Kolmoislammentie|24.52164,60.28964
Siikajärventie 132|24.52715,60.28269
Siikajärventie 132|24.52684,60.28253
Suolaaksontie|24.53186,60.28683
Suolaaksontie|24.53132,60.28688
Siikajärvi|24.51624,60.27895
Nuuksion koulu|24.56271,60.2617
Nuuksion koulu|24.56307,60.26157
Sahajärventie|24.55054,60.26249
Sahajärventie|24.5512,60.26234
Uudenpellontie|24.5395,60.26378
Kotimäki|24.53274,60.26519
Siikajärven kauppa|24.5287,60.26869
Siikajärven kauppa|24.5288,60.2688
Kotihaka|24.52949,60.26851
Kotihaka|24.52941,60.26872
Kotimäki|24.53278,60.26526
Uudenpellontie|24.53957,60.2637
Kokinkylänsilta|24.75348,60.18139
Postipuunkuja|24.8222,60.22142
Postipuunkuja|24.82207,60.22137
Mäkkyläntie|24.82611,60.22633
Postipuunmäki|24.82011,60.22212
Postipuu|24.81801,60.22194
Mäkkyläntie|24.82571,60.22633
Laurintie|24.76079,60.18935
Juhanintie|24.76442,60.19164
Lukusilta|24.75704,60.18608
Laurintie|24.76093,60.18867
Sotaneuvoksentie|24.82891,60.22622
Mestarinsilta|24.82511,60.22622
Vanha-Mankkaa|24.7685,60.19409
Mestarinsilta|24.82445,60.22619
Juhanintie|24.7639,60.19148
Sotaneuvoksentie|24.82795,60.22603
Ruutikellarintie|24.83184,60.22189
Mankkaanaukio|24.76924,60.19408
Kokinkylänsilta|24.75528,60.18099
Sotarovasti|24.83586,60.22543
Sotarovasti|24.8349,60.22614
Sotarovastintie 9|24.84005,60.22525
Kalastajamäki kp|24.726,60.15778
Juhannusmäki|24.75372,60.18329
Kalastajankuja|24.72924,60.15334
Nuottalahti|24.73707,60.15029
Kalastajankuja|24.72872,60.15421
Nuottalahti|24.73608,60.15117
Mäkkylä|24.83513,60.22042
Mäkkylä|24.83286,60.22052
Postipuun koulu|24.82411,60.22346
Postipuun koulu|24.82413,60.2235
Vermo|24.84182,60.2211
Finnoontie|24.70423,60.16115
Niittyrinne|24.70225,60.16535
Finnoonsolmu|24.70324,60.16042
Finnoontie|24.70361,60.16326
Puolarniitty|24.69489,60.16914
Niittyrinne|24.70234,60.16504
Puolarniitty|24.69269,60.16994
Mäkkylän puistotie|24.82698,60.22352
Kilonpolku|24.78619,60.21935
Kilonpolku|24.7856,60.22037
Trillakatu|24.78652,60.21692
Finno skola|24.70074,60.1622
Trillakatu|24.78694,60.21688
Kilon asema|24.78061,60.21727
Finno skola|24.69937,60.16186
Kilon asema|24.78087,60.21708
Martinniitty|24.6976,60.16172
Lansanristi|24.77504,60.21709
Tukkurinsilta|24.69135,60.15905
Lansanristi|24.77535,60.217
Tukkurinsilta|24.68966,60.15842
Mäkkylän puistotie|24.82685,60.22373
Nöykkiönpuro|24.68264,60.15642
Eestinlaaksonristi|24.68329,60.16485
Eestinahde|24.67792,60.16934
Eestinkallio|24.67821,60.16756
Varputie|24.69273,60.15995
Viittakorpi|24.67914,60.16639
Mäntytie|24.69002,60.16687
Viittakorpi|24.6803,60.16594
Eestinahde|24.67787,60.16853
Mäntytie|24.68861,60.16643
Oravarinne|24.69288,60.1687
Eestinlaaksonristi|24.68317,60.16493
Yli-Suomenoja|24.70536,60.16189
Merituuli|24.70958,60.16191
Merituuli|24.71134,60.16173
Oravarinne|24.69169,60.16809
Yli-Suomenoja|24.70565,60.16211
Eestinkallio|24.68894,60.17263
Länsimetsä|24.66488,60.15527
Eestinrinne|24.69366,60.16906
Tiilismäki|24.64159,60.158
Kattilarinne|24.64959,60.16306
Katajalaakso|24.62736,60.16471
Kuninkainen|24.76438,60.22578
Tiilenvalajantie|24.6342,60.16219
Katajalaakso|24.62812,60.16483
Puolarintie|24.68914,60.1735
Kilonkartano|24.78868,60.22366
Ruukki|24.63639,60.1596
Kilonkartano|24.78607,60.22379
Tiilenvalajantie|24.63362,60.16311
Tiilismäki|24.64127,60.1579
Ruukki|24.63576,60.16058
Kuninkainen|24.76538,60.22571
Karanristi|24.75756,60.22572
Karanristi|24.76073,60.22557
Karaniitty|24.76229,60.22036
Kelkkamäentie|24.76504,60.22026
Kelkkamäentie|24.76594,60.21915
Lansakallio|24.7638,60.21233
Lansaportti|24.76508,60.21588
Lansaportti|24.76384,60.21481
Maatilkku|24.63684,60.16711
Tillinmaa|24.6409,60.16838
Raasilanmäki|24.63542,60.16612
Maatilkku|24.63666,60.16699
Kedonkukantie|24.64617,60.16966
Karaniitty|24.76048,60.22039
Tillintulli|24.63317,60.16639
Karamalmens skola|24.75993,60.2241
Tillinmaa|24.64216,60.16839
Karamalmens skola|24.76031,60.22342
Karaniitty|24.76128,60.22098
Ruukintie|24.64422,60.15688
Karakorpi|24.7544,60.21885
Karakorpi|24.75544,60.21905
Ruukintie|24.64405,60.15682
Kattilatanhua|24.64654,60.16098
Kattilatanhua|24.64636,60.16098
Karamalmi|24.75135,60.21768
Kattilavuori|24.65168,60.16537
Kattilavuori|24.65108,60.16474
Isokivi|24.65354,60.16684
Kilonkartano|24.78682,60.22324
Espoonlahdensolmu|24.66053,60.1535
Martinsilta|24.6641,60.1543
Kattilarinne|24.65042,60.16351
Vesirattaanmäki|24.6678,60.22727
Karhunkäpälä|24.63739,60.22137
Pitkäniityntie|24.64406,60.22106
Pitkäniityntie|24.6424,60.22114
Karhusuontie|24.63425,60.22177
Puotismäentie|24.69065,60.23991
Vesirattaanmäki|24.66676,60.22794
Soittotie|24.68634,60.24544
Soittotie|24.68673,60.24502
Högnäs|24.68364,60.2486
Ylämyllyntie|24.66,60.22298
Ylämyllyntie|24.65842,60.22261
Mänkimiehentie|24.61288,60.1851
Mänkimiehentie|24.61309,60.18505
Lasihytti|24.59972,60.1859
Lasihytti|24.59902,60.18574
Hyttimestari|24.60759,60.18847
Hyttimestari|24.60739,60.18853
Mankinpelto|24.58529,60.18732
Sierakiventie|24.61047,60.18689
Vantinkulma|24.61368,60.18349
Sierakiventie|24.61042,60.18687
Åminne|24.59837,60.18439
Kurtinmäki|24.61027,60.1791
Vantinportti|24.60776,60.19023
Vantinportti|24.60782,60.19036
Mesimäki|24.62001,60.18613
